Group 1,Group 2,H,p-value,q-value
184486 (n=2),184552 (n=2),2.3999999999999986,0.12133525035848367,0.1820028755377255
184486 (n=2),184727 (n=2),2.3999999999999986,0.12133525035848367,0.1820028755377255
184552 (n=2),184727 (n=2),0.0,1.0,1.0
