Group 1,Group 2,H,p-value,q-value
AD (n=2),AI (n=2),2.3999999999999986,0.12133525035848367,0.1820028755377255
AD (n=2),SD (n=2),0.0,1.0,1.0
AI (n=2),SD (n=2),2.3999999999999986,0.12133525035848367,0.1820028755377255
